date,individual,foreign,inst_total,fin_invest,insurance,invest_trust,bank,other_fin,pension,other_corp
2026-04-29,1681,-6071,4771,1646,129,3058,-26,-15,-21,-381
2026-04-30,11824,-14559,2838,5089,-473,-2219,-32,123,350,-103
2026-05-04,-47936,29308,20098,19159,-1221,2657,-79,89,-507,-1470
2026-05-06,-5715,31085,-22894,-8284,-5084,-7843,-118,24,-1590,-2476
2026-05-07,59925,-66987,8917,17617,-806,-8154,-246,11,494,-1855
2026-05-08,39707,-52967,12542,15166,-826,-1357,-6,67,-502,718
2026-05-11,28669,-28147,-458,10028,-3964,-4006,20,412,-2948,-63
2026-05-12,66818,-56090,-12138,-6205,-1420,-2476,-110,-70,-1857,1409
2026-05-13,18868,-37227,16876,18852,-630,1250,67,-300,-2363,1482
2026-05-14,18499,-21450,1927,12618,-1750,-6788,-121,-98,-1933,1024
2026-05-15,72308,-56040,-17347,-9325,-278,-6808,-26,39,-949,1079
2026-05-18,22094,-36492,13904,14000,-121,158,-251,102,16,494
2026-05-19,56289,-57242,1575,3215,-7,-376,-43,172,-1386,-622
2026-05-20,17104,-29310,11070,9774,68,2553,40,150,-1515,1135
2026-05-21,-26754,-2212,29008,26231,-600,4452,49,-165,-959,-43
2026-05-22,10655,-19221,7583,7815,-635,1435,6,123,-1161,984
2026-05-26,-5745,-1321,8168,1708,-1958,9984,-308,-97,-1162,-1102
2026-05-27,4064,-2493,-126,11199,-3055,-3987,-204,-149,-3930,-1446
2026-05-28,36146,-27414,-10422,-3532,-212,-6343,-79,19,-275,1690
2026-05-29,-14054,-10421,23688,19139,-409,4102,-7,-46,909,787
2026-06-01,3862,-28219,24427,26892,-2597,612,-113,-61,-305,-70
2026-06-02,63537,-63035,-546,3408,-696,-3986,-21,42,707,44
2026-06-04,50135,-66663,15255,14443,-451,1645,-26,136,-492,1273
2026-06-05,42240,-27638,-13809,-9410,-64,-3689,-124,86,-607,-793
2026-06-08,17628,-2644,-17164,-14373,156,-3359,-210,137,485,2181
2026-06-09,-6167,-20064,25048,18795,-883,7161,178,30,-233,1183
2026-06-10,48643,-27754,-22665,-14247,520,-6362,47,19,-2642,1776
2026-06-11,20803,-14640,-7561,-14328,1039,6907,-17,-38,-1125,1399
2026-06-12,-43174,22041,22870,16534,-580,10141,114,-91,-3248,-1736
2026-06-15,-15124,10774,4462,7120,-575,-2519,14,172,250,-112
2026-06-16,-21841,15353,7076,2129,-335,5928,47,-355,-338,-588
2026-06-17,5254,-9952,5957,5194,-647,3099,-87,73,-1676,-1259
2026-06-18,-4156,12776,-7682,1577,-1530,-3851,80,-37,-3921,-938
2026-06-19,16478,-3555,-12244,-1994,-2537,-2489,42,1,-5267,-679
2026-06-22,21506,-25466,3034,4859,-860,1038,-19,-150,-1834,926
2026-06-23,85910,-42047,-44760,-20908,-1018,-19662,-165,-69,-2937,898
2026-06-24,26312,-46546,19095,17479,-103,1524,27,37,131,1138
2026-06-25,-24136,-8754,33244,24024,-1082,10293,62,-29,-25,-354
2026-06-26,81919,-42906,-41224,-19935,-302,-20491,-11,-3,-482,2211
2026-06-29,45975,-77332,29327,30270,40,-1419,-112,-33,581,2030
2026-06-30,8401,-37992,29332,16121,925,12623,14,43,-394,259
2026-07-01,17370,-17028,-700,-983,482,1457,49,472,-2177,359
2026-07-02,62413,-43706,-20825,-3928,556,-17424,9,457,-495,2118
2026-07-03,-22942,-21750,44079,30153,1040,11761,149,413,563,614
2026-07-06,26829,-13144,-14618,-14299,-129,-516,126,538,-338,933
2026-07-07,31359,-29172,-3108,4356,437,-8590,-57,462,285,921
2026-07-08,-358,3437,-3552,1605,477,-5050,-56,423,-950,473
2026-07-09,-13278,1343,12884,2822,950,7921,1,454,736,-950
2026-07-10,-7805,-3228,11314,11349,579,-1498,69,460,355,-282
2026-07-13,38869,-16705,-22338,-328,67,-21361,-562,508,-662,175
2026-07-14,-41411,9565,32117,18926,1508,11264,-344,-106,868,-271
2026-07-15,-24666,23031,1992,-8431,-421,10538,39,62,205,-357
2026-07-16,36647,-13665,-23831,-15258,-545,-8648,6,24,592,849
2026-07-20,3490,5198,-9235,-4931,584,-5576,-7,-48,743,547
2026-07-21,-16421,2952,13744,8891,1157,3158,4,-66,600,-275
2026-07-22,-12176,26211,-13963,-9758,162,-3670,-3,12,-706,-72
2026-07-23,-22077,21359,976,-10139,261,10118,43,-49,741,-257
2026-07-24,51782,-32683,-19514,-8740,-1753,-9393,12,33,326,416
2026-07-27,19788,-28811,8595,4691,614,4089,-70,-5,-724,427
2026-07-28,43152,-45009,1830,6947,213,-6301,-184,-10,1165,26
2026-07-29,-19701,-12502,31769,18563,1260,8639,-126,53,3381,434
2026-07-30,-14309,13280,805,-2713,1053,-1371,-164,199,3802,224
2026-07-31,-82840,72410,11503,-6663,-1071,17194,-35,431,1647,-1073
2026-08-03,46527,-28262,-19475,-15557,588,-4713,92,320,-204,1210
