date,individual,foreign,inst_total,fin_invest,insurance,invest_trust,bank,other_fin,pension,other_corp
2026-04-20,838,1419,-2367,-3722,-376,1832,55,-9,-147,110
2026-04-21,-207,-168,311,-533,-87,1009,-17,0,-61,64
2026-04-22,19,-3344,3279,4688,-38,-1815,-13,6,451,46
2026-04-23,-762,1738,-1071,-3179,282,1939,1,-2,-112,95
2026-04-24,386,-80,-289,-1326,46,941,12,2,36,-17
2026-04-27,-256,1712,-1506,-3781,-6,2395,-42,-9,-63,50
2026-04-28,588,-1913,1323,2041,-209,-473,-10,3,-29,2
2026-04-29,-395,-3474,3853,3294,16,232,0,3,308,16
2026-04-30,-146,1763,-1603,2863,-77,-4330,-34,-6,-19,-14
2026-05-04,-1079,3998,-2951,-8541,322,5252,30,-4,-10,32
2026-05-06,1172,-8350,7062,5164,445,1498,-14,15,-46,116
2026-05-07,-1485,-3153,5167,6183,406,-1375,13,-14,-46,-529
2026-05-08,610,-4628,4035,2968,105,975,-1,6,-18,-17
2026-05-11,-791,-3026,3829,-1209,275,4736,0,0,27,-12
2026-05-12,-1858,303,1954,6729,28,-4751,-41,0,-11,-399
2026-05-13,1352,-6850,5140,1335,229,3474,59,3,40,358
2026-05-14,832,-5156,4050,5786,202,-1863,-50,-3,-22,274
2026-05-15,-605,3077,-1888,3264,-261,-4850,-17,0,-24,-584
2026-05-18,-1168,27,1157,-2378,803,2732,30,-67,37,-16
2026-05-19,784,658,-1407,785,80,-2256,32,-9,-39,-35
2026-05-20,-94,-1315,1487,1091,607,-294,18,17,48,-78
2026-05-21,-707,-4429,4856,-5680,430,10250,9,-46,-107,280
2026-05-22,2268,273,-2930,644,-80,-3570,-2,12,66,389
2026-05-26,64,-242,201,-2772,-149,3236,-49,-7,-58,-23
2026-05-27,-55,244,-415,1192,144,-1802,5,52,-6,226
2026-05-28,-1442,-1296,3630,5500,119,-2075,3,-10,93,-892
2026-05-29,-130,5205,-4939,-7896,-183,3230,23,3,-116,-136
2026-06-01,1801,-1527,-830,-1565,327,446,-13,45,-70,556
2026-06-02,398,-2558,2209,3851,548,-1782,-29,21,-400,-49
2026-06-04,-959,2276,-1289,-1504,58,316,-17,23,-165,-28
2026-06-05,-1219,3160,-1633,2787,167,-4597,-8,22,-4,-308
2026-06-08,-1318,4576,-2859,3393,-160,-6242,16,29,105,-399
2026-06-09,-340,-7197,6771,-1151,195,7871,35,-114,-65,766
2026-06-10,-309,2974,-2448,635,-4,-3252,-37,-113,323,-217
2026-06-11,-10,-619,516,1461,-555,-432,23,25,-6,113
2026-06-12,1319,887,-2276,-5624,385,2892,34,3,34,70
2026-06-15,-195,294,-96,-1521,-103,1993,-7,-2,-456,-3
2026-06-16,200,387,-589,-2942,95,2304,-27,2,-21,2
2026-06-17,332,-2206,1716,2550,96,-1081,-30,0,181,158
2026-06-18,931,-1551,547,-1110,64,1761,37,-3,-202,73
2026-06-19,-346,3907,-3368,773,-45,-3976,-41,20,-99,-193
2026-06-22,-1410,-456,2226,837,81,1492,7,-2,-189,-360
2026-06-23,-1191,6595,-5213,5275,-82,-10530,1,2,121,-191
2026-06-24,-1429,-6601,7987,1870,77,5941,-32,4,127,43
2026-06-25,2264,-7778,5170,77,348,4693,65,-6,-7,344
2026-06-26,-2617,3939,-850,4472,-174,-5018,-43,2,-89,-472
2026-06-29,721,337,-991,-2631,145,1557,-2,-3,-57,-67
2026-06-30,1195,-2458,613,-876,69,1400,-49,3,66,650
2026-07-01,-1771,5232,-2461,-606,-14,-1798,45,0,-88,-1000
2026-07-02,-1327,10160,-8732,-4277,-230,-4261,93,-65,8,-101
2026-07-03,104,884,-1584,-6351,-257,4998,-50,65,11,596
2026-07-06,381,-3406,3273,5579,-30,-2203,-54,-14,-5,-248
2026-07-07,443,2812,-3162,-853,-187,-2027,32,2,-129,-93
2026-07-08,936,5564,-6593,-3436,-172,-3093,25,-6,89,93
2026-07-09,691,2527,-3412,-4902,247,1082,10,18,133,194
2026-07-10,51,-2599,2130,984,287,853,-11,0,17,418
2026-07-13,21,5015,-4516,2218,-355,-6629,101,-6,155,-520
2026-07-14,-1232,6069,-4868,-8731,100,3841,-53,-57,32,31
2026-07-15,1039,-5673,4156,-1852,220,5563,8,67,150,478
2026-07-16,-1287,2591,-1173,7343,-428,-8152,15,-5,54,-131
2026-07-20,204,3876,-3837,-2962,51,-804,37,-32,-127,-243
2026-07-21,-164,-2485,2391,-1958,363,4008,-27,22,-17,258
2026-07-22,917,-248,-709,-228,-89,-493,-1,11,91,40
2026-07-23,-826,-2289,3054,-741,112,3774,18,3,-112,61
2026-07-24,335,-162,-131,6116,-333,-5913,-36,2,33,-42
2026-07-27,404,-2085,2365,-939,241,3026,19,-1,19,-684
2026-07-28,475,5019,-5902,1806,120,-7597,93,-12,-312,408
2026-07-29,-623,7357,-6560,-3624,-91,-2846,-40,-46,87,-174
2026-07-30,224,-1448,1046,-310,299,1132,-37,-9,-29,178
2026-07-31,-1616,92,1194,-4958,463,5817,-136,45,-37,330
2026-08-03,655,-14821,14560,11458,847,2107,4,102,42,-394
2026-08-04,-668,-2672,3327,2411,114,746,49,-16,23,13
2026-08-05,1181,-3288,1575,-1841,627,2853,5,-54,-15,532
2026-08-06,66,1661,-1693,3077,218,-5096,73,-11,46,-34
2026-08-07,-589,3913,-3115,-2710,-150,-351,-9,-23,128,-209
2026-08-10,833,2205,-2840,-3381,-24,439,-8,14,120,-198
2026-08-11,-2226,1944,500,301,-95,241,22,31,0,-218
2026-08-12,1034,-1071,-595,-3745,-151,3364,-29,-8,-26,632
2026-08-13,285,-504,259,120,97,93,-57,-6,12,-40
2026-08-14,-90,-1112,1131,766,-228,548,7,-1,39,71
2026-08-18,1367,808,-2252,-296,-164,-1702,-29,7,-68,77
2026-08-19,-1339,-331,2175,7108,86,-5100,41,-10,50,-505
2026-08-20,-1241,-6978,8232,4807,461,2968,-23,48,-29,-13
2026-08-21,-548,4202,-3678,-3175,-123,-250,-31,-66,-33,24
