date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi,usdkrw,putcall,ew_close,ew_mom
2026-05-04,1156,1242,274,211,87,2594,66.2299,67.6437,61.0409,49.6342,9.3743,59.2683,0.9295,392,473,77,88,30,932,66.879,64.5058,65.5949,36.3555,6.681,43.2296,0.7587,764,769,197,123,57,1662,65.8762,69.3605,58.5119,13.2787,2.6934,16.0388,2.3623,40.5012,0.4243,0,15,0,6936.99,1213.74,55.87,1476.05,3.05,21632.0,25.7137
2026-05-06,598,1839,235,204,123,2594,50.6177,59.4889,58.3397,60.7843,17.6166,78.6127,1.1648,200,676,66,74,46,932,50.4246,57.492,61.9914,49.2137,11.1582,60.5112,0.9965,398,1163,169,130,77,1662,50.723,60.5814,56.3095,11.5706,6.4584,18.1015,2.6747,45.8946,0.3059,0,14,0,7384.56,1210.17,60.07,1444.45,3.248,21662.0,25.5055
2026-05-07,785,1631,256,136,133,2594,44.0285,56.8583,57.039,47.8823,20.3258,68.3909,1.002,352,502,88,52,45,932,47.3461,56.9607,61.349,37.9925,13.453,51.5206,0.8372,433,1129,168,84,88,1662,42.2209,56.8023,54.6429,9.8898,6.8728,16.8703,2.5119,44.5008,0.3411,0,9,0,7490.05,1199.18,61.05,1454.79,2.843,21662.0,25.1259
2026-05-08,1075,1327,270,152,127,2595,42.3811,57.7227,57.6511,32.608,24.5778,57.5078,0.8411,367,499,76,51,45,932,46.1783,58.0234,62.5268,21.294,19.753,41.1995,0.6689,708,828,194,101,82,1663,40.3123,57.5581,54.9405,11.3141,4.8247,16.3083,2.4074,42.1676,0.3152,0,16,0,7498.0,1207.72,60.53,,1.894,21597.0,24.3831
2026-05-11,534,1927,211,149,207,2596,32.5721,50.8455,53.8432,52.7029,17.2476,71.3335,1.0034,149,734,59,52,69,932,32.9087,50.5845,58.5653,40.1481,11.4726,51.8902,0.8069,385,1193,152,97,138,1664,32.3887,50.9884,51.2195,12.5548,5.775,19.4433,2.866,48.604,0.3779,0,12,1,7822.24,1207.34,65.6,1474.45,2.551,21548.0,23.7423
2026-05-12,449,2014,210,98,258,2596,23.3995,42.841,50.8987,20.9536,62.8148,87.3324,1.2576,145,731,66,39,89,932,23.0361,41.9766,54.9251,11.1232,51.6448,66.3171,1.0559,304,1283,144,59,169,1664,23.5975,43.314,48.6615,9.8305,11.17,21.0152,3.1671,48.3403,0.4389,0,14,0,7643.15,1179.29,70.14,1492.99,1.642,21115.0,20.9033
2026-05-13,911,1523,239,138,221,2596,22.6881,41.6761,49.2161,50.4154,15.2412,66.1272,0.9306,281,598,63,52,85,932,22.9299,39.5324,52.9979,42.0719,9.1935,51.6244,0.801,630,925,176,86,136,1664,22.5564,42.8488,47.1148,8.3435,6.0477,14.5028,2.1947,51.4399,0.4275,0,28,0,7844.01,1176.93,76.16,1489.84,1.202,21006.0,19.9496
2026-05-14,1477,938,258,123,114,2596,26.5818,45.2837,50.9369,39.7453,24.6913,65.7009,0.9092,645,221,76,45,33,932,29.724,48.2465,56.531,31.2771,20.4182,51.8294,0.7903,832,717,182,78,81,1664,24.8699,43.6628,47.8287,8.4682,4.2731,13.8715,2.0756,47.8949,0.2849,0,13,0,7981.41,1191.09,72.91,1493.34,0.839,21493.0,22.3507
2026-05-15,357,2090,227,68,225,2597,18.9442,35.1991,46.7304,12.404,61.6866,74.5461,1.098,166,703,73,25,53,932,23.1423,40.0212,52.8908,7.7562,49.495,57.6428,0.9365,191,1387,154,43,172,1665,16.657,32.5581,43.3076,4.6478,12.1916,16.9033,2.6649,46.9564,0.2864,0,9,1,7493.18,1129.82,74.71,,4.306,21036.0,19.4294
2026-05-18,612,1867,195,80,317,2599,16.623,30.9425,44.5507,37.1606,22.2229,59.6051,0.8764,204,686,52,20,88,932,19.0021,33.121,50.0,29.1254,15.7677,44.9848,0.7282,408,1181,143,60,229,1667,15.3268,29.7501,41.5229,8.0352,6.4552,14.6202,2.3444,49.2651,0.3115,0,8,2,7516.04,1111.09,74.05,1492.3199,2.942,20579.0,16.5432
